epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1970.53,2.24306,1.24493,0.85827,0.54044,0.60193,0.55275,0.19001,2.26434,1.24931,0.84199,0.0009968,0.0009968,0.0009968
78,1996.14,2.21673,1.24632,0.85796,0.62655,0.64243,0.61174,0.20539,2.26795,1.23608,0.85238,0.0009836,0.0009836,0.0009836
79,2021.83,2.25918,1.22707,0.86099,0.63286,0.64582,0.61787,0.20685,2.29994,1.23962,0.85421,0.0009704,0.0009704,0.0009704
80,2047.32,2.22167,1.25377,0.86163,0.57501,0.61433,0.57243,0.20494,2.18318,1.22787,0.83676,0.0009572,0.0009572,0.0009572
81,2073.01,2.19736,1.21991,0.84225,0.56356,0.62948,0.5639,0.19711,2.21045,1.22996,0.83559,0.000944,0.000944,0.000944
82,2098.1,2.22282,1.23619,0.8537,0.60546,0.62534,0.59799,0.21604,2.1351,1.22745,0.8349,0.0009308,0.0009308,0.0009308
83,2123.45,2.19104,1.21766,0.85107,0.61636,0.6307,0.60007,0.21614,2.16468,1.23879,0.83951,0.0009176,0.0009176,0.0009176
84,2148.98,2.23577,1.23347,0.85332,0.59791,0.64876,0.59863,0.2104,2.19327,1.23685,0.84346,0.0009044,0.0009044,0.0009044
85,2174.63,2.22402,1.21274,0.85704,0.56889,0.6157,0.56296,0.19582,2.26008,1.24695,0.8428,0.0008912,0.0008912,0.0008912
86,2200.5,2.21659,1.22157,0.85362,0.57957,0.59229,0.57414,0.20217,2.2313,1.25428,0.84154,0.000878,0.000878,0.000878
87,2226.16,2.11698,1.20041,0.85153,0.57304,0.59713,0.56128,0.20472,2.1837,1.25012,0.83881,0.0008648,0.0008648,0.0008648
88,2252.53,2.15457,1.20541,0.848,0.58202,0.59917,0.57313,0.20845,2.18856,1.23625,0.83606,0.0008516,0.0008516,0.0008516
89,2278.11,2.16543,1.21238,0.85377,0.61097,0.61157,0.5931,0.2135,2.15928,1.21619,0.83554,0.0008384,0.0008384,0.0008384
90,2303.84,2.21231,1.22071,0.85025,0.61105,0.62754,0.61325,0.22026,2.14855,1.2166,0.83999,0.0008252,0.0008252,0.0008252
91,2329.55,2.15548,1.18672,0.84352,0.62622,0.63774,0.62356,0.21939,2.17897,1.21984,0.84425,0.000812,0.000812,0.000812
92,2355.69,2.20892,1.21306,0.84866,0.62433,0.64325,0.60127,0.21222,2.16544,1.21419,0.8397,0.0007988,0.0007988,0.0007988
93,2381.3,2.16597,1.19386,0.84625,0.61988,0.63568,0.59676,0.21538,2.14921,1.21502,0.83728,0.0007856,0.0007856,0.0007856
